api_name,avg_place,top4_rate,win_rate,sample_n,source
DA_ComebackStory,4.217,0.5566,0.1326,649,MOCK-NOT-REAL
DA_CommerceCore,4.388,0.5224,0.1293,2856,MOCK-NOT-REAL
DA_ComponentBuffet,4.584,0.4832,0.1167,4082,MOCK-NOT-REAL
DA_ComponentQuest,3.962,0.6076,0.1420,1060,MOCK-NOT-REAL
DA_ConstructACompanion,4.234,0.5533,0.1380,951,MOCK-NOT-REAL
DA_CookingPot,4.343,0.5314,0.1269,4305,MOCK-NOT-REAL
DA_Coronation,3.859,0.6282,0.1546,2195,MOCK-NOT-REAL
DA_Corrosion,4.576,0.4849,0.1291,1279,MOCK-NOT-REAL
DA_CraftedCrafting,4.861,0.4278,0.1028,397,MOCK-NOT-REAL
DA_CryMeARiver,4.364,0.5271,0.1341,4563,MOCK-NOT-REAL
DA_CursedCrown,4.297,0.5407,0.1368,4037,MOCK-NOT-REAL
DA_CyberneticImplants_Gold,4.325,0.5351,0.1310,4873,MOCK-NOT-REAL
DA_CyberneticUplink_Gold,4.311,0.5378,0.1309,753,MOCK-NOT-REAL
DA_DeadlierBlades,4.492,0.5016,0.1287,4786,MOCK-NOT-REAL
DA_DeadlierCaps,4.197,0.5606,0.1490,1304,MOCK-NOT-REAL
DA_DoubleTrouble,4.453,0.5094,0.1286,3546,MOCK-NOT-REAL
DA_Dummify,4.498,0.5004,0.1200,3205,MOCK-NOT-REAL
DA_EarlyLearnings,4.102,0.5796,0.1481,4713,MOCK-NOT-REAL
DA_ElectrochargeI,4.419,0.5162,0.1248,2978,MOCK-NOT-REAL
DA_ElectrochargeII,4.511,0.4979,0.1337,4533,MOCK-NOT-REAL
DA_EpicRolldown,4.594,0.4813,0.1268,3052,MOCK-NOT-REAL
DA_Epoch,4.533,0.4933,0.1247,3192,MOCK-NOT-REAL
DA_EpochPlus,4.390,0.5221,0.1400,300,MOCK-NOT-REAL
DA_ExclusiveCustomization,4.483,0.5034,0.1326,1247,MOCK-NOT-REAL
DA_Expedition,4.475,0.5051,0.1304,1248,MOCK-NOT-REAL
DA_ExplosiveGrowth,4.455,0.5090,0.1189,2114,MOCK-NOT-REAL
DA_ExplosiveGrowthPlus,4.209,0.5583,0.1307,2038,MOCK-NOT-REAL
DA_ExtraBuckles,4.679,0.4642,0.1164,4757,MOCK-NOT-REAL
DA_FeelingLucky,4.838,0.4324,0.1064,1165,MOCK-NOT-REAL
DA_FindYourCenter,4.710,0.4580,0.1216,3483,MOCK-NOT-REAL
DA_Flexible,4.400,0.5199,0.1274,2250,MOCK-NOT-REAL
DA_FlowingTears,4.589,0.4821,0.1196,2460,MOCK-NOT-REAL
DA_FocusedFire,4.546,0.4907,0.1269,3529,MOCK-NOT-REAL
DA_ForgeAFriend,3.937,0.6126,0.1529,2129,MOCK-NOT-REAL
DA_ForgedInStrength,4.152,0.5695,0.1408,1001,MOCK-NOT-REAL
DA_FrontlineFoundation,4.424,0.5152,0.1376,3137,MOCK-NOT-REAL
DA_FutureFocused,4.496,0.5009,0.1251,3543,MOCK-NOT-REAL
DA_GainGold,4.505,0.4989,0.1267,1171,MOCK-NOT-REAL
DA_GiantAndMighty,3.960,0.6081,0.1503,1269,MOCK-NOT-REAL
DA_GildedSteel,4.517,0.4967,0.1244,405,MOCK-NOT-REAL
DA_GlassCannon_Gold,4.274,0.5451,0.1444,4433,MOCK-NOT-REAL
DA_GlassCannon_Silver,4.437,0.5125,0.1303,1714,MOCK-NOT-REAL
DA_GoingLong,4.090,0.5820,0.1395,1313,MOCK-NOT-REAL
DA_GoldDestiny,4.355,0.5289,0.1328,3111,MOCK-NOT-REAL
DA_GoldDestinyPlus,4.223,0.5554,0.1327,2352,MOCK-NOT-REAL
DA_GoldenEgg,4.276,0.5447,0.1366,4587,MOCK-NOT-REAL
DA_GoldenGamble,3.941,0.6117,0.1478,553,MOCK-NOT-REAL
DA_GoldenGamblePlus,4.484,0.5031,0.1357,1178,MOCK-NOT-REAL
DA_GoldenGamblePlusPlus,4.407,0.5186,0.1266,1936,MOCK-NOT-REAL
DA_GroupHugI,4.692,0.4616,0.1162,4096,MOCK-NOT-REAL
DA_GroupHugII,4.491,0.5019,0.1240,4214,MOCK-NOT-REAL
DA_HardBargain,4.472,0.5056,0.1281,2180,MOCK-NOT-REAL
DA_HardCommit,4.210,0.5580,0.1349,1540,MOCK-NOT-REAL
DA_HealingOrbsI,4.775,0.4450,0.1022,3231,MOCK-NOT-REAL
DA_HealingOrbsII,4.355,0.5291,0.1233,3963,MOCK-NOT-REAL
DA_HeartOfSteel,4.502,0.4996,0.1308,4939,MOCK-NOT-REAL
DA_HedgeFund,4.094,0.5811,0.1523,875,MOCK-NOT-REAL
DA_HeroicGrabBag,4.436,0.5129,0.1371,4249,MOCK-NOT-REAL
DA_HeroicGrabBagPlus,4.274,0.5451,0.1392,944,MOCK-NOT-REAL
DA_HeroicGrabBagPlusPlus,3.922,0.6156,0.1591,4104,MOCK-NOT-REAL
DA_HoldTheLine,4.061,0.5879,0.1488,3563,MOCK-NOT-REAL
DA_Hustler,4.255,0.5490,0.1360,1320,MOCK-NOT-REAL
DA_InfinityProtection,4.544,0.4912,0.1300,946,MOCK-NOT-REAL
DA_InvestedPlus,4.291,0.5418,0.1301,4243,MOCK-NOT-REAL
DA_InvestedPlusPlus,3.991,0.6018,0.1590,4188,MOCK-NOT-REAL
DA_InvestmentStrategy,4.509,0.4982,0.1197,4582,MOCK-NOT-REAL
DA_InvestmentStrategyI,4.607,0.4786,0.1204,2127,MOCK-NOT-REAL
DA_IronAssets,4.624,0.4753,0.1214,1535,MOCK-NOT-REAL
DA_ItemGrabBag,4.722,0.4555,0.1051,708,MOCK-NOT-REAL
DA_ItsMeBaby,4.668,0.4665,0.1136,2233,MOCK-NOT-REAL
DA_JeweledLotus_I,4.409,0.5181,0.1249,4915,MOCK-NOT-REAL
DA_JeweledLotus_II,4.406,0.5189,0.1229,1786,MOCK-NOT-REAL
DA_KickStart,4.626,0.4748,0.1256,4924,MOCK-NOT-REAL
DA_Kingslayer,4.810,0.4380,0.1177,4255,MOCK-NOT-REAL
DA_LateGameScaling,4.464,0.5071,0.1259,4634,MOCK-NOT-REAL
DA_LateGameSpecialist,4.627,0.4746,0.1202,3978,MOCK-NOT-REAL
DA_LatentForge,4.544,0.4911,0.1154,1783,MOCK-NOT-REAL
DA_LegionOfThrees,4.553,0.4894,0.1242,978,MOCK-NOT-REAL
DA_LevelUp,4.365,0.5271,0.1229,689,MOCK-NOT-REAL
DA_LivingForge,3.981,0.6037,0.1473,4503,MOCK-NOT-REAL
DA_LoadedDice,4.725,0.4549,0.1151,4300,MOCK-NOT-REAL
DA_LuckyGloves,4.366,0.5268,0.1266,2181,MOCK-NOT-REAL
DA_LuckyGlovesPlus,4.418,0.5164,0.1328,2412,MOCK-NOT-REAL
DA_LuxurySubscription,4.220,0.5560,0.1422,4522,MOCK-NOT-REAL
DA_MagicRoll,4.278,0.5445,0.1440,4794,MOCK-NOT-REAL
DA_MakeshiftArmorI,4.567,0.4866,0.1154,506,MOCK-NOT-REAL
DA_MakeshiftArmorII,4.375,0.5251,0.1302,1367,MOCK-NOT-REAL
DA_MaliciousMonetization,4.598,0.4804,0.1193,4949,MOCK-NOT-REAL
DA_MaxBuild,4.679,0.4643,0.1217,330,MOCK-NOT-REAL
DA_Min_Max,4.270,0.5460,0.1372,3891,MOCK-NOT-REAL
DA_MissedConnections,4.486,0.5027,0.1311,2521,MOCK-NOT-REAL
DA_MoneyHungryPlus,4.255,0.5491,0.1371,3660,MOCK-NOT-REAL
DA_MoneyHungry_NotBroken,4.615,0.4771,0.1180,4554,MOCK-NOT-REAL
DA_MoneyMonsoon,4.034,0.5932,0.1396,4113,MOCK-NOT-REAL
DA_NestingAnvils,4.374,0.5252,0.1255,2607,MOCK-NOT-REAL
DA_NestingAnvilsPlus,4.656,0.4688,0.1093,1118,MOCK-NOT-REAL
DA_NestingDollsPlus,4.274,0.5452,0.1307,4193,MOCK-NOT-REAL
DA_NestingDollsPlusPlus,4.169,0.5661,0.1478,1492,MOCK-NOT-REAL
DA_NoScoutNoPivot,4.233,0.5534,0.1412,2320,MOCK-NOT-REAL
DA_OneBuffTwoBuff,4.327,0.5346,0.1403,1456,MOCK-NOT-REAL
DA_PandorasBench,4.243,0.5513,0.1420,662,MOCK-NOT-REAL
DA_PandorasItemsI,4.448,0.5104,0.1320,2970,MOCK-NOT-REAL
DA_PandorasItemsII,4.271,0.5459,0.1364,1497,MOCK-NOT-REAL
DA_PandorasItemsIII,4.159,0.5681,0.1388,1878,MOCK-NOT-REAL
DA_PartialAscension,4.426,0.5148,0.1318,956,MOCK-NOT-REAL
DA_PatienceIsAVirtue,4.475,0.5049,0.1261,983,MOCK-NOT-REAL
DA_PatientStudy,4.213,0.5575,0.1417,3668,MOCK-NOT-REAL
DA_Pilfer,4.270,0.5459,0.1295,1265,MOCK-NOT-REAL
DA_PlotArmor,4.453,0.5093,0.1188,3803,MOCK-NOT-REAL
DA_PortableForge,4.155,0.5691,0.1409,821,MOCK-NOT-REAL
DA_PrismaticDestiny,4.198,0.5604,0.1446,1541,MOCK-NOT-REAL
DA_PrismaticDestinyPlus,4.316,0.5368,0.1353,2383,MOCK-NOT-REAL
DA_PrismaticTicket,4.020,0.5959,0.1486,3899,MOCK-NOT-REAL
DA_PromisedProtection,4.416,0.5168,0.1365,2257,MOCK-NOT-REAL
DA_QuickStreaks,4.440,0.5121,0.1265,4480,MOCK-NOT-REAL
DA_RadiantRascal,4.286,0.5429,0.1451,3958,MOCK-NOT-REAL
DA_RadiantRelic,4.229,0.5541,0.1456,1476,MOCK-NOT-REAL
DA_Recombobulator,4.811,0.4377,0.1112,879,MOCK-NOT-REAL
DA_Replication,4.248,0.5504,0.1434,1962,MOCK-NOT-REAL
DA_Retribution,4.203,0.5594,0.1417,1262,MOCK-NOT-REAL
DA_RollingForDays,4.786,0.4428,0.1181,4274,MOCK-NOT-REAL
DA_SalvageBin,4.596,0.4808,0.1142,406,MOCK-NOT-REAL
DA_SalvageBinPlus,4.596,0.4808,0.1240,3911,MOCK-NOT-REAL
DA_SeraphimsStaff,4.541,0.4918,0.1239,3236,MOCK-NOT-REAL
DA_ShimmerscaleEssence,3.914,0.6172,0.1565,1115,MOCK-NOT-REAL
DA_ShoppingSpree,3.978,0.6044,0.1529,4692,MOCK-NOT-REAL
DA_SilverDestiny,4.810,0.4380,0.1017,4532,MOCK-NOT-REAL
DA_SilverDestinyPlus,4.510,0.4980,0.1156,1377,MOCK-NOT-REAL
DA_SilverDestinyPlusPlus,4.298,0.5405,0.1281,4870,MOCK-NOT-REAL
DA_SilverSpoon,4.539,0.4922,0.1278,1457,MOCK-NOT-REAL
DA_Slammin,4.584,0.4831,0.1228,673,MOCK-NOT-REAL
DA_SlamminPlus,4.321,0.5358,0.1399,1121,MOCK-NOT-REAL
DA_SliceOfLife,4.642,0.4716,0.1271,4652,MOCK-NOT-REAL
DA_SlightlyMagicRoll,4.505,0.4991,0.1185,4124,MOCK-NOT-REAL
DA_SmallGrabBag,4.496,0.5008,0.1266,3001,MOCK-NOT-REAL
DA_SoloLeveling,4.178,0.5645,0.1423,1724,MOCK-NOT-REAL
DA_SoloPlate,4.581,0.4839,0.1210,4459,MOCK-NOT-REAL
DA_SoulAwakening,4.062,0.5875,0.1569,3198,MOCK-NOT-REAL
DA_SpeedyDoubleKill,4.354,0.5291,0.1260,4634,MOCK-NOT-REAL
DA_SpiritOfRedemption,4.587,0.4826,0.1151,1346,MOCK-NOT-REAL
DA_SpreadingRoots,4.306,0.5388,0.1356,4607,MOCK-NOT-REAL
DA_SpreadingRootsPlus,4.646,0.4709,0.1101,428,MOCK-NOT-REAL
DA_Staffsmith,4.530,0.4940,0.1310,4106,MOCK-NOT-REAL
DA_StandUnited,4.699,0.4602,0.1078,3219,MOCK-NOT-REAL
DA_SweetTreats,3.928,0.6144,0.1439,4777,MOCK-NOT-REAL
DA_SwordOverflow,3.854,0.6292,0.1501,2855,MOCK-NOT-REAL
DA_Swordsmith,4.619,0.4763,0.1185,3632,MOCK-NOT-REAL
DA_TacticiansKitchen,4.090,0.5820,0.1392,4911,MOCK-NOT-REAL
DA_TeamBuilding,4.864,0.4273,0.1012,3781,MOCK-NOT-REAL
DA_TheGoldenDragon,4.133,0.5734,0.1460,1232,MOCK-NOT-REAL
DA_TheTower,4.504,0.4992,0.1286,3300,MOCK-NOT-REAL
DA_TheTraitTree,4.075,0.5850,0.1486,1939,MOCK-NOT-REAL
DA_TheTraitTreePlus,4.308,0.5384,0.1258,3271,MOCK-NOT-REAL
DA_TimeSkip,4.487,0.5026,0.1165,1277,MOCK-NOT-REAL
DA_TonsOfStatsI,4.434,0.5132,0.1259,991,MOCK-NOT-REAL
DA_TonsOfStatsII,4.216,0.5568,0.1364,4147,MOCK-NOT-REAL
DA_TradeSector,4.616,0.4767,0.1204,807,MOCK-NOT-REAL
DA_TradeSectorPlus,4.288,0.5424,0.1340,4723,MOCK-NOT-REAL
DA_TraitLadder,4.057,0.5885,0.1430,1553,MOCK-NOT-REAL
DA_TwinGuardians,4.436,0.5128,0.1380,315,MOCK-NOT-REAL
DA_URF,4.507,0.4986,0.1277,4600,MOCK-NOT-REAL
DA_UpwardMobility,4.200,0.5601,0.1394,2882,MOCK-NOT-REAL
DA_UrfsGrabBag,4.400,0.5199,0.1364,4452,MOCK-NOT-REAL
DA_VerticalityI,4.484,0.5032,0.1195,3390,MOCK-NOT-REAL
DA_VerticalityII,4.106,0.5789,0.1530,2427,MOCK-NOT-REAL
DA_VerticalityIII,4.098,0.5804,0.1502,2135,MOCK-NOT-REAL
DA_WandOverflow,4.106,0.5787,0.1433,3504,MOCK-NOT-REAL
DA_Warpath,4.640,0.4720,0.1170,2041,MOCK-NOT-REAL
DA_WeStickTogether,4.061,0.5877,0.1510,3652,MOCK-NOT-REAL
DA_WorththeWait,4.420,0.5159,0.1262,1879,MOCK-NOT-REAL
DA_WorththeWaitII,4.273,0.5454,0.1387,1868,MOCK-NOT-REAL
DA_WovenMagic,4.252,0.5497,0.1459,2086,MOCK-NOT-REAL
DA_YoungAndWildAndFree,4.675,0.4649,0.1185,2288,MOCK-NOT-REAL
